user_id,ideal_point,com
4232,-0.9268251,0.0
4268,-0.44190556,0.0
4274,-0.8450369,0.0
4305,0.39227912,1.0
4313,-0.08693453,0.0
4444,0.04398774,0.0
4493,-0.202716,0.0
4707,0.17158724,1.0
4729,-0.24630788,0.0
4747,-0.47690597,0.0
4752,-0.91566646,0.0
4768,0.26621142,1.0
4769,1.2496551,1.0
4773,-0.12581888,0.0
4822,1.5025383,1.0
4857,0.10565237,1.0
4878,-0.31298524,0.0
4897,-0.24581225,0.0
4933,-0.20070842,0.0
4993,-0.80711484,0.0
5008,0.7593975,1.0
5017,-0.6999338,0.0
5033,-0.45426774,0.0
5042,-0.4207476,0.0
5047,-0.44891116,0.0
5130,-0.41721576,0.0
5164,-0.6802504,0.0
5247,-0.48754075,0.0
5261,-0.24704684,0.0
5296,0.5834459,1.0
5308,-0.46269035,0.0
5358,-0.72014344,0.0
5363,-0.15944119,0.0
5379,-0.4514005,0.0
5435,-0.6052419,0.0
5472,-0.39493814,0.0
5494,0.27845296,1.0
5495,-0.52809024,0.0
5499,0.23979048,1.0
5513,-0.2687881,0.0
5517,-0.6113727,0.0
5543,-0.0076549896,0.0
5588,-0.003384309,0.0
5740,-0.75599456,0.0
5749,0.1460937,1.0
5758,-0.017844243,0.0
5821,0.22811937,1.0
5833,-0.41175246,0.0
5916,-1.3786817,0.0
5975,-1.33626,0.0
6051,-0.14244734,0.0
6073,-0.546187,0.0
6123,-0.5598818,0.0
6174,0.8471106,1.0
6228,0.0137445545,0.0
6265,-0.88815564,0.0
6301,-0.709329,0.0
6360,-0.6005205,0.0
6475,-0.8940021,0.0
6488,-0.16136274,0.0
6545,-0.21225013,0.0
6561,-0.5530147,0.0
6601,-0.6615074,0.0
6610,0.088441834,0.0
6638,1.2572479,1.0
6649,-0.77804935,0.0
6706,-0.27675885,0.0
6866,-0.1649711,0.0
6881,-0.48683402,0.0
6928,0.11345545,1.0
6961,-0.05046859,0.0
7008,-0.3993969,0.0
7048,-0.25269225,0.0
7052,-0.27755097,0.0
7054,-0.7127148,0.0
7071,0.07407874,0.0
7080,-0.70900583,0.0
7130,-0.34934145,0.0
7149,0.06445001,0.0
7200,-0.58267754,0.0
7219,-0.57043135,0.0
7236,-0.46258283,0.0
7275,-0.77065897,0.0
7374,-0.59014755,0.0
7384,-0.19989575,0.0
7427,0.066487685,0.0
7471,-0.16470928,0.0
7490,0.40708572,1.0
7528,-0.18078615,0.0
7597,-0.10245337,0.0
7619,-0.10348261,0.0
7622,1.1040077,1.0
7675,-0.14227033,0.0
7728,1.2630117,1.0
7841,-0.10390539,0.0
7883,-0.4844091,0.0
7889,0.2087011,1.0
7995,-0.5550857,0.0
8015,-0.7238117,0.0
8061,0.085207194,0.0
8062,-0.39784852,0.0
8094,-0.33719695,0.0
