user_id,ideal_point,com
906,0.9009096,1.0
911,-1.0513142,0.0
912,-0.7872466,0.0
916,-1.1400596,0.0
919,-0.31724912,0.0
925,-0.3251896,0.0
926,0.85599315,1.0
952,0.33801252,1.0
962,-0.3055773,0.0
964,-0.8602593,0.0
970,-0.27314743,0.0
983,-0.19710453,0.0
987,-0.6473948,0.0
995,-0.072625585,0.0
1001,-0.39721262,0.0
1008,0.4857507,1.0
1016,-0.8513805,0.0
1021,-0.75353664,0.0
1022,-0.6798579,0.0
1033,-0.58977425,0.0
1037,-0.7520747,0.0
1042,-0.20952359,0.0
1074,0.24993673,1.0
1094,-0.36115307,0.0
1130,-0.3369681,0.0
1133,-0.63969356,0.0
1145,-0.06690565,0.0
1163,-0.25523317,0.0
1171,-0.42735022,0.0
1208,-0.4260104,0.0
1221,-0.8291582,0.0
1224,0.015376732,0.0
1226,-0.58958536,0.0
1260,-0.3800087,0.0
1300,-0.31264275,0.0
1306,0.21894883,1.0
1316,-0.7704806,0.0
1360,-0.66472614,0.0
1373,-1.101464,0.0
1382,0.055771206,0.0
1401,-0.56741375,0.0
1412,-0.54731196,0.0
1414,-0.58701766,0.0
1444,0.19850802,1.0
1481,-0.3698711,0.0
1495,-0.38070974,0.0
1500,-0.299669,0.0
1515,-0.38692322,0.0
1517,-0.30059624,0.0
1518,-0.46882907,0.0
1533,-0.38829175,0.0
1534,0.022197869,0.0
1566,-0.34055924,0.0
1568,-0.3745835,0.0
1581,-0.5372857,0.0
1583,0.30263647,1.0
1584,-0.5722588,0.0
1596,-0.45325947,0.0
1599,-0.17833413,0.0
1631,-0.061900154,0.0
1633,-0.07326479,0.0
1637,-0.2843963,0.0
1638,-0.1548983,0.0
1639,-0.60225,0.0
1653,-0.64378726,0.0
1661,-0.56530845,0.0
1662,-0.6546638,0.0
1668,-0.28510156,0.0
1671,-0.55970913,0.0
1677,-0.38878354,0.0
1701,-0.39449316,0.0
1703,-0.33624193,0.0
1743,-0.6121326,0.0
1745,-0.21859683,0.0
1749,0.34116292,1.0
1768,-0.5379645,0.0
1783,-0.609488,0.0
1806,-0.5338357,0.0
1821,-0.52008545,0.0
1832,-0.8473579,0.0
1841,0.027547967,0.0
1845,-0.15906204,0.0
1848,0.04301938,0.0
1878,-0.38321364,0.0
1889,-0.61203223,0.0
1890,-0.035488993,0.0
1922,-0.8530321,0.0
1930,-0.8899154,0.0
1935,-0.22177777,0.0
1986,0.08814411,0.0
2029,0.070527524,0.0
2033,-0.62706685,0.0
2035,-0.49153498,0.0
2044,-0.9299283,0.0
2080,-0.8951243,0.0
2115,-0.35684943,0.0
2123,-0.17576976,0.0
