created_at,id,user_id,screen_name,followers_count,friend_count,in_reply_to_user_id,in_reply_to_screen_name,text,time,ideal_point
2022-07-06 01:37:15+00:00,1.5444956603424276e+18,1.1307482993199596e+18,Daniela62717004,130.0,544.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:37:15+00:00,-0.43294945
2022-07-06 01:38:09+00:00,1.544495885119365e+18,1309281056.0,rottwailer1990,3014.0,3999.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:38:09+00:00,0.13517062
2022-07-06 01:38:11+00:00,1.5444958956638536e+18,109371461.0,sub_Zerox,2652.0,2579.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:38:11+00:00,-0.8570124
2022-07-06 01:38:41+00:00,1.544496023115993e+18,46546755.0,PauArce,839.0,974.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:38:41+00:00,-0.054938495
2022-07-06 01:39:33+00:00,1.5444962414213038e+18,2329317835.0,Tamara20329325,62.0,132.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:39:33+00:00,
2022-07-06 01:40:41+00:00,1.5444965226410025e+18,1.2209546826691297e+18,YuriOsv,816.0,1232.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:40:41+00:00,0.5085575
2022-07-06 01:40:52+00:00,1.5444965689167544e+18,17468303.0,cristiansalinas,239.0,550.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:40:52+00:00,-0.8813338
2022-07-06 01:41:26+00:00,1.5444967139012444e+18,867705306.0,portuls,92.0,364.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:41:26+00:00,
2022-07-06 01:42:36+00:00,1.5444970050360484e+18,70269111.0,rafitalacroix,3626.0,3824.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:42:36+00:00,-0.52362484
2022-07-06 01:42:58+00:00,1.544497097419866e+18,2444679073.0,jey_mg,56.0,278.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:42:58+00:00,-1.3112514
2022-07-06 01:43:05+00:00,1.544497128222777e+18,1.2520269769966592e+18,Ricardo68991300,7.0,42.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:43:05+00:00,
2022-07-06 01:44:01+00:00,1.5444973632548168e+18,1.4218360530239734e+18,verottk77,212.0,317.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:44:01+00:00,-1.2297336
2022-07-06 01:44:36+00:00,1.5444975088978125e+18,170211740.0,edoardojaviers,1034.0,672.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:44:36+00:00,-0.3184076
2022-07-06 01:44:41+00:00,1.544497529307349e+18,7.420597962920755e+17,b_vivancop,443.0,603.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:44:41+00:00,-0.50359726
2022-07-06 01:45:04+00:00,1.544497626367738e+18,315592143.0,LizanaRodrigo,3148.0,5001.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:45:04+00:00,0.015851138
2022-07-06 01:45:49+00:00,1.5444978160173097e+18,1.1960903408743752e+18,VictorR33491877,976.0,4957.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:45:49+00:00,-0.06849809
2022-07-06 01:45:54+00:00,1.544497838268244e+18,394127501.0,ibarex,550.0,1579.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:45:54+00:00,0.29941076
2022-07-06 01:47:12+00:00,1.5444981652939244e+18,1.403195057709142e+18,JessicaPaolayqf,10.0,41.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:47:12+00:00,0.2690983
2022-07-06 01:47:28+00:00,1.5444982336651346e+18,106537905.0,BioDovScience,2462.0,3517.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:47:28+00:00,
2022-07-06 01:48:13+00:00,1.5444984188436685e+18,1.3440132534128517e+18,Francisco_dhf,612.0,813.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:48:13+00:00,-0.4955528
